tract_geoid,household_growth_z,median_income_z,deposit_growth_z,competitor_saturation_z,unmet_demand_z,opportunity_score,county_name,lmi_flag,growth_is_estimated
17031691200,-1.749,-1.454667,-0.4464,1.132,-0.653,-0.5838,Cook County,True,False
17031610400,-0.838,-0.917333,-0.4464,0.5875,-1.4275,-0.5847,Cook County,True,False
17177000500,-0.961,0.290667,-0.4336,-1.296,-0.3435,-0.5849,Stephenson County,False,False
17031838800,-0.9545,-1.679333,-0.4464,0.867,-1.021,-0.5851,Cook County,True,False
55079003900,-1.127,-1.403333,-0.8024,1.035,-0.7885,-0.5872,Milwaukee County,True,False
55101000904,-0.3095,-0.171333,-3.1616,0.475,0.973,-0.5884,Racine County,False,False
17137952200,-1.04,0.024667,-0.2632,-0.7145,-0.8855,-0.5901,Morgan County,False,True
55079015900,-0.694,-1.059333,-0.8024,0.442,-0.9045,-0.5909,Milwaukee County,True,False
17031843400,-0.8765,-1.116,-0.4464,0.7625,-1.4465,-0.5912,Cook County,True,False
17031271300,-0.828,-1.045333,-0.4464,0.602,-1.3885,-0.5913,Cook County,True,False
17001001002,-0.9725,-0.581333,0.214,-1.0085,-0.808,-0.5916,Adams County,False,False
55071000600,-1.1725,-0.670667,-2.2508,0.8275,0.702,-0.592,Manitowoc County,False,False
17101881100,0.2925,-1.036,-0.8256,-0.5985,-0.8465,-0.5924,Lawrence County,True,True
17055040100,-1.474,-0.704,0.5292,-0.7575,-0.866,-0.5928,Franklin County,False,False
55079013600,-0.3845,-1.378,-0.8024,0.6295,-1.1755,-0.5934,Milwaukee County,True,False
55135100200,-0.446,-0.083333,-1.1788,-0.625,-0.3625,-0.5939,Waupaca County,False,False
17111871003,-1.5565,0.475333,0.1076,-2.722,0.818,-0.5939,McHenry County,False,False
17031803613,-0.702,-0.552667,-0.4464,-0.248,-1.0595,-0.5964,Cook County,True,True
55019950100,-0.9725,-0.581333,-0.504,-1.4175,0.4695,-0.5973,Clark County,False,False
17043844601,-1.486,1.052,-0.5016,-1.6685,0.005,-0.5975,DuPage County,False,False
55079006400,-1.0715,-0.645333,-0.8024,0.5695,-1.0015,-0.5982,Milwaukee County,True,False
17191955200,-1.1605,-1.146,0.0056,0.1395,-1.1175,-0.5983,Wayne County,False,False
17031801603,-1.391,-0.151333,-0.4464,-0.006,-0.924,-0.5986,Cook County,True,False
55079017600,-0.248,-1.184,-0.8024,0.2605,-1.1175,-0.5993,Milwaukee County,True,False
17031560100,-1.3775,-0.280667,-0.4464,0.4605,-1.311,-0.5994,Cook County,False,False
17185957300,-1.3295,-1.135333,0.7296,-0.771,-0.963,-0.6004,Wabash County,False,False
17137951800,-0.422,-0.207333,-0.2632,-1.39,-0.711,-0.6015,Morgan County,False,False
17019011002,-0.889,-0.561333,-0.1792,-0.6025,-0.8855,-0.6044,Champaign County,False,True
17143005100,-0.9745,-1.5,0.356,-0.076,-1.292,-0.6046,Peoria County,True,False
17119402400,-0.993,-1.203333,-0.174,0.128,-1.04,-0.605,Madison County,True,True
17141961100,-2.6365,-0.539333,-0.0756,0.2605,-0.15,-0.605,Ogle County,False,False
17047957000,-0.141,-0.682667,-0.1756,-0.8625,-1.292,-0.6053,Edwards County,False,False
17001010302,0.152,-0.327333,0.214,-2.029,-1.1755,-0.6063,Adams County,False,True
55043960100,-0.472,-0.312667,0.3472,-2.34,-0.421,-0.6067,Grant County,False,False
55101001706,-0.26,-0.101333,-3.1616,0.22,1.031,-0.6074,Racine County,False,False
17187870400,-1.2265,-0.628,0.0192,-0.833,-0.537,-0.6086,Warren County,False,False
17057953400,0.2435,-1.025333,0.4004,-1.862,-1.1565,-0.6087,Fulton County,False,False
55079007600,-0.749,-0.901333,-0.8024,0.345,-0.963,-0.6092,Milwaukee County,False,False
17111870302,-0.6715,-0.332667,0.1076,-2.6945,0.431,-0.6101,McHenry County,True,False
17011965000,-0.1225,-0.404667,0.1676,-1.816,-1.021,-0.6107,Bureau County,False,False
17031817400,-2.0095,0.374,-0.4464,0.2095,-0.982,-0.6119,Cook County,True,False
55121100100,-0.211,-0.422,-0.8588,-1.4465,-0.0145,-0.6123,Trempealeau County,False,False
17119401701,-1.8505,-1.036,-0.174,0.43,-0.653,-0.6136,Madison County,True,False
17089852904,-2.4735,-0.943333,0.5664,0.771,-1.3695,-0.6143,Kane County,True,False
55139002500,-0.648,-0.876667,-1.6116,0.355,-0.111,-0.6152,Winnebago County,True,False
17031816600,-1.0935,-0.498,-0.4464,0.1,-1.1565,-0.6163,Cook County,True,False
17107953500,0.632,0.41,-1.4532,-1.8075,-0.4015,-0.6172,Logan County,False,False
17117956200,-0.767,-0.597333,1.3852,-2.7555,-0.8465,-0.6172,Macoupin County,True,False
17061973700,-1.041,-0.856667,1.186,-1.6135,-1.2725,-0.6175,Greene County,True,False
17105960700,-0.0085,-0.36,0.0684,-2.958,0.063,-0.6176,Livingston County,False,False
55101001702,-0.1275,0.300667,-3.1616,-0.986,1.747,-0.6186,Racine County,False,False
55079186200,-0.3415,-1.688,-0.8024,0.743,-1.234,-0.6204,Milwaukee County,True,False
17163504501,-3.1015,-1.67,1.2988,1.0865,-1.466,-0.622,St. Clair County,True,True
17031828402,-1.856,-0.672667,-0.4464,-0.1995,0.005,-0.6226,Cook County,True,False
17031670800,-1.755,-0.770667,-0.4464,0.9335,-1.1565,-0.6227,Cook County,True,False
17077011200,0.5275,-1.439333,0.0484,-1.41,-1.2145,-0.6231,Jackson County,True,False
17115001600,-0.8065,-1.033333,-0.3352,-0.335,-0.7885,-0.6249,Macon County,False,False
17085020102,-0.2325,-0.363333,0.6464,-2.33,-1.0985,-0.6251,Jo Daviess County,False,True
17019000500,-1.246,-0.65,-0.1792,-0.672,-0.498,-0.6256,Champaign County,False,False
55079002500,-1.211,-1.310667,-0.8024,0.9625,-0.9045,-0.6279,Milwaukee County,True,False
17043846603,-1.116,-0.368667,-0.5016,-0.3585,-0.769,-0.6294,DuPage County,True,False
17067953800,-0.266,-0.201333,0.7924,-3.01,-0.7305,-0.6335,Hancock County,False,False
