tract_geoid,county_name,cbsa_title,tier,households,lmi_flag,household_growth,median_income,deposit_market_growth,competitor_saturation,unmet_mortgage_demand,contrib_household_growth,contrib_median_income,contrib_deposit_market_growth,contrib_competitor_saturation,contrib_unmet_mortgage_demand,components_present,opportunity_score,growth_is_estimated,tract_partly_unmeasured,lmi_undetermined,county_growth_heavily_adjusted,retail_basis_status
55021971000,Columbia County,"Madison, WI",metro,1716,False,1.519,90595,6.307,0.0,139.0,0.0693,0.0226,0.3051,0.3574,0.2294,5,0.9839,False,False,False,False,measured
55073001106,Marathon County,"Wausau, WI",metro,2479,False,2.062,101343,6.882,7.704,189.0,0.1148,0.0654,0.383,-0.0034,0.423,5,0.9828,True,False,False,False,measured
55017010200,Chippewa County,"Eau Claire, WI",metro,3168,False,2.647,66114,7.827,8.831,193.0,0.1637,-0.0748,0.511,-0.0562,0.4385,5,0.9823,False,False,False,False,measured
17093890502,Kendall County,"Chicago-Naperville-Elgin, IL-IN",metro,1628,False,1.66,94500,10.204,10.028,116.0,0.0811,0.0382,0.8332,-0.1122,0.1404,5,0.9807,True,False,False,False,measured
55025010503,Dane County,"Madison, WI",metro,2027,False,2.312,127313,2.659,1.265,226.0,0.1357,0.1687,-0.1893,0.2982,0.5662,5,0.9795,True,False,False,False,measured
55089660201,Ozaukee County,"Milwaukee-Waukesha, WI",metro,1980,False,6.152,146750,2.924,5.039,158.0,0.4569,0.246,-0.1535,0.1214,0.303,5,0.9738,False,False,False,False,measured
55059002606,Kenosha County,"Kenosha, WI",metro,1773,False,4.901,123894,4.613,5.837,159.0,0.3523,0.1551,0.0754,0.0841,0.3068,5,0.9737,True,False,False,False,measured
55109120202,St. Croix County,"Minneapolis-St. Paul-Bloomington, MN-WI",metro,1841,False,0.87,145728,9.176,9.916,113.0,0.0151,0.2419,0.694,-0.1069,0.1288,5,0.9728,False,False,False,False,measured
17031833000,Cook County,"Chicago-Naperville-Elgin, IL-IN",metro,3527,False,7.143,192016,3.233,8.831,124.0,0.5398,0.4261,-0.1116,-0.0562,0.1713,5,0.9694,False,False,False,True,measured
55105001201,Rock County,"Janesville-Beloit, WI",metro,2718,False,4.685,90597,3.865,4.191,203.0,0.3342,0.0226,-0.0259,0.1612,0.4772,5,0.9693,False,False,False,False,measured
55063010204,La Crosse County,"La Crosse-Onalaska, WI-MN",metro,2377,False,3.838,71577,8.411,7.282,118.0,0.2633,-0.053,0.5902,0.0164,0.1481,5,0.965,True,False,False,False,measured
17089854507,Kane County,"Chicago-Naperville-Elgin, IL-IN",metro,2359,False,2.396,129025,5.101,3.896,165.0,0.1427,0.1755,0.1416,0.175,0.3301,5,0.9649,True,False,False,False,measured
17113001402,McLean County,"Bloomington, IL",metro,1351,False,1.453,119583,6.799,2.961,121.0,0.0639,0.1379,0.3718,0.2188,0.1597,5,0.9521,False,False,False,True,measured
55063000900,La Crosse County,"La Crosse-Onalaska, WI-MN",metro,2294,False,7.139,34511,8.411,4.532,48.0,0.5395,-0.2005,0.5902,0.1452,-0.1229,5,0.9515,False,False,False,False,measured
17111871107,McHenry County,"Chicago-Naperville-Elgin, IL-IN",metro,1777,False,0.665,157165,4.254,6.274,228.0,-0.0021,0.2874,0.0269,0.0636,0.574,5,0.9498,False,False,False,False,measured
55031030302,Douglas County,"Duluth, MN-WI",metro,1046,False,0.275,78700,8.741,0.0,84.0,-0.0347,-0.0247,0.635,0.3574,0.0165,5,0.9495,True,False,False,False,measured
55029100500,Door County,,rural,1829,False,3.468,89972,7.5,6.214,122.0,0.2324,0.0202,0.4667,0.0664,0.1636,5,0.9493,False,False,False,False,measured
55039041400,Fond du Lac County,"Fond du Lac, WI",metro,2455,False,0.999,95637,5.907,0.0,149.0,0.0259,0.0427,0.2508,0.3574,0.2681,5,0.9449,False,False,False,False,measured
55117010800,Sheboygan County,"Sheboygan, WI",metro,1684,False,4.554,111471,5.146,2.243,109.0,0.3232,0.1057,0.1477,0.2524,0.1133,5,0.9423,False,False,False,False,measured
55133200400,Waukesha County,"Milwaukee-Waukesha, WI",metro,2571,False,0.865,123457,5.429,8.001,236.0,0.0146,0.1533,0.1861,-0.0173,0.6049,5,0.9418,False,False,False,False,measured
17063000700,Grundy County,"Chicago-Naperville-Elgin, IL-IN",metro,2482,False,1.632,79357,6.278,0.0,138.0,0.0788,-0.0221,0.3011,0.3574,0.2255,5,0.9408,False,False,False,False,measured
