OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790144600061|17019001203|Census Tract 12.03|2531544|56136|G5020|S|20740144600061|17019001203|Census Tract 12.03|2531544|56136|G5020|S|2531544|56136
20790144583381|17019001204|Census Tract 12.04|7606982|0|G5020|S|20740144583381|17019001204|Census Tract 12.04|7606982|0|G5020|S|7606982|0
20790144581907|17019001205|Census Tract 12.05|23891916|230308|G5020|S|20740144581907|17019001205|Census Tract 12.05|23891916|230308|G5020|S|23891916|230308
20790144587223|17019001206|Census Tract 12.06|2457102|157363|G5020|S|20740144587223|17019001206|Census Tract 12.06|2457102|157363|G5020|S|2457102|157363
20790144579879|17019001301|Census Tract 13.01|4237093|56477|G5020|S|20740144579879|17019001301|Census Tract 13.01|4237197|56477|G5020|S|4237093|56477
20790144580360|17019001302|Census Tract 13.02|7482622|72484|G5020|S|20740144579879|17019001301|Census Tract 13.01|4237197|56477|G5020|S|104|0
20790144580360|17019001302|Census Tract 13.02|7482622|72484|G5020|S|20740144580360|17019001302|Census Tract 13.02|7482518|72484|G5020|S|7482518|72484
20790144584082|17019001400|Census Tract 14|5570712|47310|G5020|S|20740144584082|17019001400|Census Tract 14|5696228|47310|G5020|S|5570646|47310
20790144584082|17019001400|Census Tract 14|5570712|47310|G5020|S|20740144597083|17019005900|Census Tract 59|1303266|4848|G5020|S|66|0
20790144590054|17019005300|Census Tract 53|4741384|55354|G5020|S|20740144585181|17019000200|Census Tract 2|1414466|0|G5020|S|154215|0
20790144590054|17019005300|Census Tract 53|4741384|55354|G5020|S|20740144578948|17019000800|Census Tract 8|12273649|56|G5020|S|22|0
20790144590054|17019005300|Census Tract 53|4741384|55354|G5020|S|20740144590054|17019005300|Census Tract 53|4616524|67784|G5020|S|4586738|55354
20790144590054|17019005300|Census Tract 53|4741384|55354|G5020|S|207403716801494|17019010604|Census Tract 106.04|258151626|83968|G5020|S|409|0
207903716801516|17019005401|Census Tract 54.01|4644952|38511|G5020|S|20740144590054|17019005300|Census Tract 53|4616524|67784|G5020|S|0|4745
207903716801516|17019005401|Census Tract 54.01|4644952|38511|G5020|S|207403716801516|17019005401|Census Tract 54.01|4768476|33766|G5020|S|4644952|33766
207903716801509|17019005402|Census Tract 54.02|15174396|79485|G5020|S|20740144590054|17019005300|Census Tract 53|4616524|67784|G5020|S|0|4760
207903716801509|17019005402|Census Tract 54.02|15174396|79485|G5020|S|207403716801516|17019005401|Census Tract 54.01|4768476|33766|G5020|S|123524|0
207903716801509|17019005402|Census Tract 54.02|15174396|79485|G5020|S|207403716801509|17019005402|Census Tract 54.02|15050872|74725|G5020|S|15050872|74725
20790144594185|17019005500|Census Tract 55|10090327|0|G5020|S|20740144594185|17019005500|Census Tract 55|10090327|0|G5020|S|10090327|0
2079015503930349|17019005601|Census Tract 56.01|2914019|0|G5020|S|20740144594732|17019005600|Census Tract 56|20837353|68713|G5020|S|2914019|0
