CITY,ACTIVE,FED_RSSD,CERT,STALP,NAME,ID,ASSET
Sinton,0,405061,1217,TX,Commercial State Bank,1217,56778
Annapolis,0,809324,12172,MD,The Annapolis Banking and Trust Company,12172,492814
Salisbury,0,303626,12173,MD,Truckers and Savings Bank,12173,
Caro,0,802745,12175,MI,Chemical Bank Thumb Area,12175,174957
Clio,0,900445,12176,MI,The Clio State Bank,12176,
Lake City,0,328946,12179,MI,Chemical Bank Lake City,12179,51605
Spearman,1,407168,1218,TX,First State Bank,1218,191218
Mancelona,0,599344,12180,MI,Antrim County State Bank,12180,32030
Monroe,0,364449,12181,MI,Monroe Bank & Trust,12181,1325155
Trenton,0,233143,12182,MI,Old Kent Bank-Southeast,12182,283237
Calumet,0,228457,12184,MI,First of America Bank - Copper Country,12184,68397
Greenwald,0,51552,12185,MN,State Bank of Greenwald,12185,23318
Waite Park,0,763556,12186,MN,Plaza Park State Bank,12186,209932
Houston,0,981855,12188,MN,Fortress Bank Minnesota,12188,56737
Kanaranzi,0,909354,12189,MN,Farmers State Bank of Kanaranzi,12189,4042
Wellington,1,371362,1219,TX,Wellington State Bank,1219,650168
Lanesboro,0,955454,12190,MN,Lanesboro State Bank,12190,11391
Maple Grove,0,753753,12192,MN,"Norwest Bank of Maple Grove, National Association",12192,130478
Pine Island,0,729459,12193,MN,Pine Island Bank,12193,156508
Sturgeon Lake,0,772156,12194,MN,Sturgeon Lake State Bank,12194,11509
Two Harbors,0,834755,12195,MN,The Lake Bank,12195,162207
Comfrey,0,281751,12197,MN,Choice Financial Savings Bank,12197,15936
